여리여리 발그레 메이크업 (With. Looks) l 이사배(Risabae Makeup),https://youtu.be/BukOZzrjFk0,11:57,287481,2016. 11. 30.,https://img.youtube.com/vi/BukOZzrjFk0/0.jpg,입생로랑 유스 리버레이터 세럼 파운데이션 [SPF20/PA++] BR-20,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),삐아 다우니 치크 03 다우니 애프리콧,스킨푸드 생과일 립 앤 치크 세가지맛 방울토마토,바닐라코 프라임 프라이머 피니쉬 블러 팩트 BLENDING,삐아 라스트 오토 젤 아이라이너 L3로즈코코,삐아 라스트 펜 아이라이너 초코 브라운,슈에무라 하드 포뮬라 씰 브라운,베네피트 (benefit) 김미 브로우 3 미디움,페리페라 (peripera) 페리스 잉크 더 벨벳 8청순포텐,손앤박 투웨이 립 초크 브릭,삐아 라스트 펜 아이라이너 초코 브라운,,,
[Eng] 이목구비 자기주장 메이크업! l 이사배(Risabae Makeup),https://youtu.be/6Sjj65dtFz8,11:22,1464945,2016. 11. 26.,https://img.youtube.com/vi/6Sjj65dtFz8/0.jpg,입생로랑 유스 리버레이터 세럼 파운데이션 [SPF20/PA++] BR-20, 맥 코르크 + 마크제이콥스 뷰티 스타일 아이콘 ,베네피트 (benefit) 김미 브로우 3 미디움,미샤 컬러빔 블러셔 애플칙,,,,,,,,,,,
걸 크러쉬 메이크업 (with. Looks) l 이사배(Risabae Makeup),https://youtu.be/aQobi6iMHtA,12:35,390704,2016. 11. 25.,https://img.youtube.com/vi/aQobi6iMHtA/0.jpg,문샷 파우더 픽서 ,삐아 플러시 섀도우 05 골덴,에스쁘아 꾸뛰르 립 플루이드 벨벳 ,,,,,,,,,,,,
이선빈 st 데일리 메이크업 l 이사배(Risabae Makeup),https://youtu.be/Lc_KaUhLpuY,13:21,420412,2016. 11. 23.,https://img.youtube.com/vi/Lc_KaUhLpuY/0.jpg,조르지오아르마니 디자이너 리프트 파운데이션 [SPF20/PA+++] #2 핑크 베이스,닥터자르트 더메이크업 비비 메이트 컨투어 - 쉐이딩(브론징) ,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤), 로라메르시에 미네랄 피니싱 파우더 ,이글립스 애플핏 블러셔 04 탠저린코랄,삐아 라스트 오토 젤 아이라이너 02멜로브라운,,,,,,,,,
걸그룹의 정석 메이크업 (with. 룩스) l 이사배(Risabae Makeup),https://youtu.be/7CWrBiTcBYQ,14:52,1090679,2016. 11. 17.,https://img.youtube.com/vi/7CWrBiTcBYQ/0.jpg,조르지오아르마니 디자이너 리프트 파운데이션 [SPF20/PA+++] #2 핑크 베이스, 로라메르시에 미네랄 피니싱 파우더 , 베네피트 하이브로우, 프로에잇청담 젤 아이라이너 브라운,삐아 라스트 펜 아이라이너 초코 브라운,슈에무라 하드 포뮬라 아콘,,,,,,,,,
무쌍+동그란얼굴 메이크오버 (쁘띠튜닝라이브 2회) l 이사배(Risabae Makeup),https://youtu.be/lx9myS9P3Fc,24:30:00,1833764,2016. 11. 5.,https://img.youtube.com/vi/lx9myS9P3Fc/0.jpg,,,,,,,,,,,,,,,
데일리 메이크업 ~ l 이사배(Risabae Makeup),https://youtu.be/zRfSYDLZMPk,13:22,858875,2016. 11. 4.,https://img.youtube.com/vi/zRfSYDLZMPk/0.jpg,엘리자베스아덴 에잇아워 크림 프래그런스 프리 ,꾸셀 비체밤 비비크림 ,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),스틸라 아쿠아 글로우 워터컬러 블러쉬 쉬머링워터,밀라니 로즈 파우더 블러쉬 , 로라메르시에 미네랄 피니싱 파우더 ,"아리따움 샤인픽스 아이즈 22.시나몬로즈
25.뱀파이어키스", 베네피트 하이브로우 글로우 (언더,메이블린 뉴욕 (MAYBELLINE NEWYORK) 패션브로우 3D 브로우 팔레트 라이트브라운,슈에무라 하드 포뮬라 아콘,베네피트 (benefit) 김미 브로우 3 미디움,,,,
늦잠자서 8분 걸렸던 메이크업~ l 이사배(Risabae Makeup),https://youtu.be/KA-8CC4KbX0,13:38,876617,2016. 10. 19.,https://img.youtube.com/vi/KA-8CC4KbX0/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),입생로랑 르 쿠션 엉크르 드 뽀 [SPF23/PA++] B20,바닐라코 프라임 프라이머 피니쉬 블러 팩트 BLENDING,슈에무라 하드 포뮬라 아콘, 베네피트 김미브로우 미디움딥,,,,,,,,,,
김희정st 스트릿 데일리메이크업! l 이사배(Risabae Makeup),https://youtu.be/G6CSS13Iadg,13:46,1385782,2016. 10. 14.,https://img.youtube.com/vi/G6CSS13Iadg/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤), 문샷 파우더픽서 20,마몽드 (Mamonde) 내추럴 우드펜슬 아이브로우 03호 그레이, 베네피트 하이브로우 글로우,삐아 라스트 펜 아이라이너 초코 브라운,,,,,,,,,
버건디립 포인트 데일리 메이크업! l 이사배(Risabae Makeup),https://youtu.be/nMw23y7y8qc,13:52,467660,2016. 10. 10.,https://img.youtube.com/vi/nMw23y7y8qc/0.jpg,입생로랑 유스 리버레이터 세럼 파운데이션 [SPF20/PA++] BR-20, 맥 프로롱웨어 컨실러 NC20(얼굴중앙,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),닥터자르트 더메이크업 비비 메이트 컨투어 - 쉐이딩(브론징) ,케빈어코인 더 셀레스철 하이라이팅 파우더 , 에스쁘아 퍼펙트 오일컨트롤 프레스드 파우더,케빈어코인 더 셀레스철 하이라이팅 파우더 , 베네피트 하이브로우 글로우,삐아 라스트 오토 젤 아이라이너 슬림 S2 느와르 S, 어퓨 아이디파인 펜라이너 비비드블랙(모내기,케빈어코인 더 셀레스철 하이라이팅 파우더 ,슈에무라 하드 포뮬라 아콘,맥 (MAC) 립텐시티 립스틱 토스트 앤 버터,,
