로드샵 원브랜드 메이크업 : 토니모리 Tonymoly Korean one brand makeup | SSIN,https://youtu.be/Dv01kBvlhvo,12:26,1756359,2016. 4. 21.,https://img.youtube.com/vi/Dv01kBvlhvo/0.jpg,토니모리 루미너스 여신광채 패브릭 비비크림 [SPF50+/PA+++] 02 웜베이지,토니모리 페이스톤 크리미 팁컨실러 [SPF30/PA++] 내추럴베이지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 바닐라 코 Banila co. Korean one brand makeup | SSIN,https://youtu.be/GIb4Ns8Oo04,14:06,860421,2016. 7. 12.,https://img.youtube.com/vi/GIb4Ns8Oo04/0.jpg,바닐라코 커버 10 퍼펙트 쿠션 [SPF30/PA++] be10,바닐라코 서울 폭스테일 워터프루프 마스카라 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 갑오브갑 4 파운데이션 갑오브갑 본편 | SSIN,https://youtu.be/Du9X2V19kr4,17:33,3028171,2014. 3. 19.,https://img.youtube.com/vi/Du9X2V19kr4/0.jpg,어퓨 실크 라이트 스킨 프라이머 밀크베이지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑오브갑 로드샵 최고의 선크림 추천 Best sunscreen ever! | SSIN,https://youtu.be/UTWKcQejvRI,21:41,1601872,2014. 8. 14.,https://img.youtube.com/vi/UTWKcQejvRI/0.jpg,네이처스 골드 테라퓨틱 스킨 크림 50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 2NE1 씨엘 메이크업 CL inspired makeup tut | SSIN,https://youtu.be/EbOqqSCjoGI,6:05,1524646,2015. 9. 16.,https://img.youtube.com/vi/EbOqqSCjoGI/0.jpg,스킨푸드 미네랄 슈가 트리플 섀도우 4호 플럼 브라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 위너 송민호 메이크업 WINNER Song MINO Inspired Makeup | SSIN,https://youtu.be/9V0DSdpOjIk,6:55,707627,2015. 9. 14.,https://img.youtube.com/vi/9V0DSdpOjIk/0.jpg,케이트 미네랄 BB 젤 크림 고기능 메이크업 베이스&파운데이션 일체형 얇게 발라도 우수한 커버력으로 입체적이고 생기있는 피부연출,문샷 파우더 픽서 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 방탄소년단 '쩔어' 지민 메이크업 : BTS 'Dope' Jimin Inspired Makeup | SSIN,https://youtu.be/kPlr1MiMKYY,6:32,1332648,2015. 8. 19.,https://img.youtube.com/vi/kPlr1MiMKYY/0.jpg,아이오페 퍼펙트 드로잉 젤 라이너 03호 쉬머 브라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 블락비 피오 메이크업 Block.B P.O inspired makeup | SSIN,https://youtu.be/1th2Obf38N4,6:59,464146,2015. 8. 12.,https://img.youtube.com/vi/1th2Obf38N4/0.jpg,아이오페 퍼펙트 드로잉 젤 라이너 03호 쉬머 브라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 뱅뱅뱅 지드래곤 메이크업 Bang Bang Bang GD makeup | SSIN,https://youtu.be/PnCQMWED8TA,7:07,1558198,2015. 7. 11.,https://img.youtube.com/vi/PnCQMWED8TA/0.jpg,베카 (Becca) 쉬머링 스킨 퍼펙터 프레스드 하이라이터 문스톤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ENG) 엑소 백현 서가대 메이크업 EXO Baekhyun Makeup | SSIN,https://youtu.be/lW4CsraOzfQ,4:28,936027,2015. 6. 29.,https://img.youtube.com/vi/lW4CsraOzfQ/0.jpg,케이트 커버 컨실러 NB,"미샤 클로징 커버 펜슬 컨실러 21호
23호",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
